جهة التدريب,الموقع,الإيميل,LinkedIn
البنك المركزي السعودي,https://www.sama.gov.sa/ar-sa/Pages/default.aspx,info@sama.gov.sa,https://www.linkedin.com/company/saudi-central-bank-sama/?originalSubdomain=sa
المؤسسة العامة لتحلية المياه المالحة,https://www.swcc.gov.sa/Arabic/Pages/Home.aspx,"Ialhassan@swcc.gov.sa TCPR@swcc.gov.sa 

",https://www.linkedin.com/company/swdtcksa/?originalSubdomain=sa
المؤسسة العامة للتدريب التقني والمهني,https://www.tvtc.gov.sa/,cso@tvtc.gov.sa,https://www.linkedin.com/school/tvtc/?originalSubdomain=sa
المؤسسة العامة للتقاعد,https://www.pension.gov.sa/,"governor@pension,gov.sa",https://www.linkedin.com/company/public-pension-agency/?originalSubdomain=sa
مؤسسة الملك عبد العزيز ورجاله للموهبة والإبداع,https://www.mawhiba.org/Ar/About/who/Pages/Brief.aspx,Info@mawhiba.org.sa,https://www.linkedin.com/company/mawhiba/
الوزارات,,,
وزارة الخارجية,https://www.mofa.gov.sa/,info@mofa.gov.sa,
وزارة المالية,https://www.mof.gov.sa/Pages/default.aspx,ccc@mof.gov.sa,https://www.linkedin.com/company/mofksa
وزارة العدل,https://www.moj.gov.sa/ar/pages/default.aspx,1950@moj.gov.sa,https://www.linkedin.com/company/وزارة-العدل
وزارة الموارد البشرية والتنمية الاجتماعية,https://hrsd.gov.sa/,info@hrsd.gov.sa,https://www.linkedin.com/company/ministry-of-human-resources-and-social-development-ksa
وزارة التعليم,https://www.moe.gov.sa/ar/Pages/default.aspx,contact@mohe.gov.sa - info@mohe.gov.sa,https://sa.linkedin.com/company/ministry-of-education-saudi-arabia
وزارة الاقتصاد والتخطيط,https://www.mep.gov.sa/ar,info@mep.gov.sa,https://sa.linkedin.com/company/mepsaudi
وزارة الاستثمار,https://misa.gov.sa/ar/,InvestorCare@misa.gov.sa,https://www.linkedin.com/company/ministry-of-investment-ksa
وزارة الطاقة,http://www.moenergy.gov.sa/arabic/Pages/default.aspx,,https://sa.linkedin.com/company/saudi-ministry-of-energy
وزارة الثقافة,https://www.moc.gov.sa/ar,info@moc.gov.sa,https://www.linkedin.com/company/mocsaudi/
وزارة الاسكان,https://www.housing.gov.sa/,info@housing.gov.sa,https://www.linkedin.com/company/ministry-of-housing-saudi-arabia/
وزارة الاعلام,https://media.gov.sa/,info@media.gov.sa,https://www.linkedin.com/company/moci_ksa/
وزارة الاتصالات وتقنية المعلومات,https://www.mcit.gov.sa/,,https://www.linkedin.com/company/mcitgovsa/
وزارة البيئة والمياه والزراعة,https://www.mewa.gov.sa/ar/Pages/default.aspx,,https://www.linkedin.com/company/ministry-of-environment-water-and-agriculture/
وزارة التجارة,https://mc.gov.sa/ar/pages/default.aspx,CS@mc.gov.sa,https://www.linkedin.com/company/ministry-of-commerce-saudiarabia/
وزارة الصحة,https://www.moh.gov.sa/Pages/Default.aspx,irecsupport@moh.gov.sa,https://www.linkedin.com/company/ministry-of-health-saudi-arabia/
وزارة الصناعة والثروه المعدنية,https://mim.gov.sa/,info@mim.gov.sa,https://www.linkedin.com/company/mimgov/
وزارة النقل,https://www.mot.gov.sa/ar/Pages/default.aspx,,https://www.linkedin.com/company/ministry-of-transport-saudi-arabia/
المراكز,,,
المركز السعودي لكفاءة الطاقة,https://www.seec.gov.sa/,info@seec.gov.sa,https://www.linkedin.com/company/saudi-energy-efficiency-program/
المركز الوطني للتصديق الرقمي,https://www.ncdc.gov.sa/,info@ncdc.gov.sa,https://www.linkedin.com/company/national-center-for-digital-certification-ministry-of-communications-and-it-saudi-arabia-/
المركز الوطني للتنافسية,https://www.ncc.gov.sa/ar/Pages/default.aspx,info@ncc.gov.sa,https://www.linkedin.com/company/ksancc/
المركزالوطني للذكاء الاصطناعي,https://sdaia.gov.sa/ncai/,info@sdaia.gov.sa,https://www.linkedin.com/company/sdaia-ksa/
المركز الوطني للوثائق والمحفوظات,https://ncar.gov.sa/,info@ncar.gov.sa,
مركز الملك عبدالله للدراسات والبحوث,https://www.kapsarc.org/ar/about/,jobs@kapsarc.org,https://www.linkedin.com/company/kapsarc/
الصناديق,,,
الصندوق السعودي للتنمية,https://www.sfd.gov.sa/,info@sfd.gov.sa,https://www.linkedin.com/company/saudi-fund-for-development/
صندوق الاستثمارات العامة,https://www.pif.gov.sa/ar/Pages/default.aspx#1,,https://www.linkedin.com/company/pifsaudi/
صندوق التنمية الزراعية,https://adf.gov.sa/ar/Pages/default.aspx,,https://www.linkedin.com/company/adfgovsa/
صندوق التنمية الصناعية السعودي,https://www.sidf.gov.sa/ar/Pages/Home.aspx,info@sidf.gov.sa,https://www.linkedin.com/company/saudi-industrial-development-fund/
صندوق التنمية العقارية,https://www.housing.gov.sa/ar/related-links/140,info@housing.gov.sa,https://www.linkedin.com/company/real-estate-development-fund/
صندوق التنمية الوطني,https://www.ndf.gov.sa/,info@ndf.gov.sa,https://www.linkedin.com/company/ndfsaudi/
صندوق تنمية الموارد البشرية,https://www.hrdf.org.sa/Home,,https://www.linkedin.com/company/hrdf/
بنوك,,,
البنك الأهلي التجاري,https://www.alahli.com/ar-sa/Pages/RB-NCB-Home-New.aspx,contactus@alahli.com,https://www.linkedin.com/company/ncb/
البنك السعودي للإستثمار,https://www.saib.com.sa/ar,,https://www.linkedin.com/company/saudi-investment-bank/
مصرف الانماء,https://www.alinma.com/Career/coopAr.html,info@alinma.com,https://www.linkedin.com/company/alinma-bank/
البنك السعودي الفرنسي,https://www.alfransi.com.sa/,,https://www.linkedin.com/company/banque-saudi-fransi/
بنك الرياض,https://www.riyadbank.com/ar/personal-banking,,https://www.linkedin.com/company/riyad-bank/
مجموعة سامبا المالية,https://m.samba.com/ar/home/index.aspx,customerCare@samba.com,https://www.linkedin.com/company/samba-financial-group/
مصرف الراجحي,https://www.alrajhibank.com.sa/,,https://www.linkedin.com/company/alrajhibank/
البنك العربي الوطني,http://www.anb.com.sa/Default.aspx?tabid=634&language=ar-SA,,https://www.linkedin.com/company/arab-national-bank/
بنك البلاد,https://www.bankalbilad.com/ar/about/Pages/Training.aspx,,https://www.linkedin.com/company/bankalbilad/
بنك الجزيرة,https://www.bankaljazira.com/ar-sa/,Call_Center_Supervisor@BAJ.Com.SA,https://www.linkedin.com/company/bank-al-jazira/
أخرى,,,
stc,https://careers.stc.com.sa/,,https://www.linkedin.com/company/stc/
Mobily,https://careers.mobily.com.sa/en/saudi-arabia/jobs/coop-program-1100006246/,,https://www.linkedin.com/company/mobily/
البحري,https://careers.bahri.sa/job/Riyadh-COOP-Program-2020/571006001/,,https://www.linkedin.com/company/bahri/
سابك,https://www.sabic.com/ar/careers/middle-east-africa/students-and-fresh-graduates,,https://www.linkedin.com/company/sabic/
Aramco,https://www.aramco.com/ar/website-information/contactus,saempsa_webmaster@aramco.com,https://www.linkedin.com/company/aramco/
Saudi Railway Company,https://www.sar.com.sa/Home-aspx-lang-ar-sa.aspx,Training@sar.com.sa,https://www.linkedin.com/company/sarsaudirailway/
KPMG,https://home.kpmg/xx/en/home.html,,https://www.linkedin.com/company/kpmg/
EY,https://www.ey.com/en_sa,,https://www.linkedin.com/company/ernstandyoung/
PWC,https://www.pwc.com/m1/en/media-centre/2017/pwc-saudi-arabia-welcomes-70-new-graduates-ar.html,,https://www.linkedin.com/company/pwc/
DELOITTE,https://www2.deloitte.com/sa/en/legal/about-deloitte-saudi-arabia.html,emakhdoum@deloitte.com,https://www.linkedin.com/company/deloitte/
McKinsey & Company,https://www.mckinsey.com/middle-east/ar/riyadh,,https://www.linkedin.com/company/mckinsey/
Sanabil Investments,http://www.sanabil.sa/ar/pages/default.aspx,,https://www.linkedin.com/company/sanabil-investments/
التعاونية,https://www.tawuniya.com.sa/about-us/contact-us,info@tawuniya.com.sa,https://www.linkedin.com/company/tawuniya/
شركة ابو حيمد وال الشيخ والحقباني بالتعاون مع Clifford Chance,https://www.ashlawksa.com/en/home.html,Info.ASH@ashlawksa.com,https://www.linkedin.com/company/abuhimed-alsheikh-alhagbani-law-firm-as-h-in-co-operation-with-clifford-chance/
شركة الخشيم وشركاه, https://www.khoshaim.com/intern/,info@khoshaim.com,https://www.linkedin.com/company/khoshaim
شركة الضبعان وشركاه بالتعاون مع Evershed Sutherland ,https://www.eversheds-sutherland.com/global/en/where/middle-east/saudi-arabia/overview/careers/index.page,HRRiyadh@aldhabaan-es.com,https://www.linkedin.com/company/aldhabaan-and-partners
EKP Legal in association AlEnezee Legal Counsel,https://www.ekplegal.com/index.php,info@ekplegal.com, https://www.linkedin.com/company/ekplegal
شركة الصعيب وشركاه للمحاماة,http://soaiblaw.com,soaib@soaiblaw.com,https://www.linkedin.com/in/soaiblaw-firm-0a238592 
جدوى للاستثمار,http://www.jadwa.com/en,info@jadwa.com,https://www.linkedin.com/company/jadwa-investment
تداول,https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/market-watch?locale=ar,Co.op.training@tadawul.com.sa,https://www.linkedin.com/company/tadawul
تقنية,https://taqnia.com/en/,,https://www.linkedin.com/company/taqnia-sa
أديم المالية,http://adeemcapital.com/ar-sa/,hr@adeemcapital.com,https://www.linkedin.com/company/adeem-capital
دراية المالية,http://www.derayah.com/web/ar/index.html,HR@derayah.com,https://www.linkedin.com/company/derayah
فالكم المالية,http://www.falcom.com.sa/, hr@falcom.com.sa,https://www.linkedin.com/company/falcom-financial-services
ثقة,https://thiqah.sa/,coop@thiqah.sa,https://www.linkedin.com/company/thiqah-business-services-company
شركة يونيليفر,https://www.unilever.com/,nadia.malaika@unilever.com nada.al-hashimi@unilever.com,https://www.linkedin.com/company/unilever
شركة معادن,https://www.maaden.com.sa/ar/careers/working,GARNIS@MAADEN.COM.SA info@maaden.com.sa,https://www.linkedin.com/company/maaden
شركة كسب المالية,http://www.kasbcapital.sa/index.php/ar/,ialalwan@ksb.com.sa,https://www.linkedin.com/company/ksb-capital-group
سمة Saudi Credit Bureau (SIMAH),https://www.simah.com/en/personal/pages/default.aspx,kalmzaini@simah.com,https://www.linkedin.com/company/saudi-credit-bureau---simah
تكامل,https://join.takamol.com.sa/?page_id=4,,https://www.linkedin.com/company/takamolholding
tetco,https://tetco.sa/ar/default.aspx,career@tetco.sa,https://www.linkedin.com/company/tetco-group
وساطه المالية,http://www.wasatah.com.sa/index.php/ar/,info@wasatah.com.sa,https://www.linkedin.com/company/al-wasatah-al-maliah-co.-wasatah-capital-
